No.;Time     ;;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;;;;
38;18.490.418;18;192.168.1.3;224.0.0.251;MDNS;287;Standard query response 0x0000 PTR, cache flush Android.local PTR, cache flush Android.local A, cache flush 192.168.1.3 AAAA, cache flush fe80::7e03:abff:fec7:f1cd NSEC, cache flush 3.1.168.192.in-addr.arpa NSEC, cache flush D.C.1.F.7.C.E.F.F.F.B.A.3.0.E.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android.local;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.490.418;18.490.418;0;;349;2366;2017;;;;;
39;18.490.418;18;fe80::7e03:abff:fec7:f1cd;ff02::fb;MDNS;307;Standard query response 0x0000 PTR, cache flush Android.local PTR, cache flush Android.local A, cache flush 192.168.1.3 AAAA, cache flush fe80::7e03:abff:fec7:f1cd NSEC, cache flush 3.1.168.192.in-addr.arpa NSEC, cache flush D.C.1.F.7.C.E.F.F.F.B.A.3.0.E.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android.local;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.490.418;19.854.753;1364335;;2366;20829;18463;;;;;
40;19.854.753;20;192.168.1.16;13.107.21.200;TLSv1.2;212;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.854.753;19.856.034;1281;;20829;329;-20500;;;;;
41;19.856.034;20;192.168.1.16;13.107.21.200;TLSv1.2;141;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.856.034;19.878.339;22305;;329;2221;1892;;;;;
42;19.878.339;20;13.107.21.200;192.168.1.16;TCP;54;443  >  57553 [ACK] Seq=7349 Ack=360 Win=525056 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.878.339;19.879.204;865;;2221;612877;610656;;;;;
43;19.879.204;20;13.107.21.200;192.168.1.16;TCP;54;443  >  57553 [ACK] Seq=7349 Ack=447 Win=525056 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.879.204;19.879.572;368;;612877;11467;-601410;;;;;
44;19.879.572;20;13.107.21.200;192.168.1.16;TLSv1.2;380;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.879.572;19.879.572;0;;11467;250229;238762;;;;;
45;19.879.572;20;13.107.21.200;192.168.1.16;TLSv1.2;123;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.879.572;19.879.921;349;;250229;12917;-237312;;;;;
46;19.879.921;20;192.168.1.16;13.107.21.200;TCP;54;57553  >  443 [ACK] Seq=447 Ack=7744 Win=261632 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.879.921;19.882.287;2366;;12917;5179;-7738;;;;;
47;19.882.287;20;192.168.1.16;13.107.21.200;TLSv1.2;92;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.882.287;19.903.116;20829;;5179;24116;18937;;;;;
48;19.903.116;20;13.107.21.200;192.168.1.16;TLSv1.2;92;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.903.116;19.903.445;329;;24116;378;-23738;;;;;
49;19.903.445;20;192.168.1.16;13.107.21.200;TCP;54;57553  >  443 [ACK] Seq=485 Ack=7782 Win=261632 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.903.445;19.905.666;2221;;378;4715342;4714964;;;;;
50;19.905.666;20;13.107.21.200;192.168.1.16;TCP;54;443  >  57553 [ACK] Seq=7782 Ack=485 Win=525056 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.905.666;20.518.543;612877;;4715342;76;-4715266;;;;;
51;20.518.543;21;192.168.1.16;104.16.236.42;TCP;54;57552  >  443 [FIN, ACK] Seq=1 Ack=2 Win=65792 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.518.543;20.530.010;11467;;76;517358;517282;;;;;
52;20.530.010;21;104.16.236.42;192.168.1.16;TCP;54;443  >  57552 [ACK] Seq=2 Ack=2 Win=65536 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.530.010;20.780.239;250229;;517358;0;-517358;;;;;
53;20.780.239;21;fe80::7962:bd7e:4086:296;fe80::1;DNS;96;Standard query 0xbb59 A api1.appexnw.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.780.239;20.793.156;12917;;0;24118;24118;;;;;
54;20.793.156;21;fe80::1;fe80::7962:bd7e:4086:296;DNS;469;Standard query response 0xbb59 A api1.appexnw.com CNAME cs477248.wpc.nucdn.net CNAME cs477248.lb.apr-16873.edgecastdns.net CNAME cs47724811.wpc.nucdn.net A 117.18.232.215 NS ns3.nucdn.net NS ns2.nucdn.net NS ns4.nucdn.net NS ns1.nucdn.net A 72.21.80.5 A 72.21.80.6 A 192.229.254.5 A 192.229.254.6 AAAA 2606:2800:1::5 AAAA 2606:2800:1::6 AAAA 2606:2800:e::5 AAAA 2606:2800:e::6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.793.156;20.798.335;5179;;24118;51494;27376;;;;;
55;20.798.335;21;192.168.1.16;117.18.232.215;TCP;66;57558  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.798.335;20.822.451;24116;;51494;131;-51363;;;;;
56;20.822.451;21;117.18.232.215;192.168.1.16;TCP;66;443  >  57558 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1452 SACK_PERM=1 WS=512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.822.451;20.822.829;378;;131;332;201;;;;;
57;20.822.829;21;192.168.1.16;117.18.232.215;TCP;54;57558  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.822.829;25.538.171;4715342;;332;236;-96;;;;;
58;25.538.171;26;zte_97:b2:1e;IntelCor_4e:37:0c;ARP;42;Who has 192.168.1.16? Tell 192.168.1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.538.171;25.538.247;76;;236;158100;157864;;;;;
59;25.538.247;26;IntelCor_4e:37:0c;zte_97:b2:1e;ARP;42;192.168.1.16 is at f8:94:c2:4e:37:0c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.538.247;26.055.605;517358;;158100;2511334;2353234;;;;;
60;26.055.605;26;192.168.1.16;13.107.21.200;TCP;1494;57553  >  443 [ACK] Seq=485 Ack=7782 Win=261632 Len=1440 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.055.605;26.055.605;0;;2511334;2781156;269822;;;;;
61;26.055.605;26;192.168.1.16;13.107.21.200;TLSv1.2;703;Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.055.605;26.079.723;24118;;2781156;641753;-2139403;;;;;
62;26.079.723;26;13.107.21.200;192.168.1.16;TCP;54;443  >  57553 [ACK] Seq=7782 Ack=2574 Win=525568 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.079.723;26.131.217;51494;;641753;12048;-629705;;;;;
63;26.131.217;26;13.107.21.200;192.168.1.16;TLSv1.2;92;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.131.217;26.131.348;131;;12048;22103;10055;;;;;
64;26.131.348;26;192.168.1.16;13.107.21.200;TCP;66;[TCP Dup ACK 49#1] 57553  >  443 [ACK] Seq=2574 Ack=7782 Win=261632 Len=0 SLE=8914 SRE=8952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.131.348;26.131.680;332;;22103;191930;169827;;;;;
65;26.131.680;26;13.107.21.200;192.168.1.16;TCP;1186;[TCP Out-Of-Order] 443  >  57553 [PSH, ACK] Seq=7782 Ack=2574 Win=525568 Len=1132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.131.680;26.131.916;236;;191930;244;-191686;;;;;
66;26.131.916;26;192.168.1.16;13.107.21.200;TCP;54;57553  >  443 [ACK] Seq=2574 Ack=8952 Win=262144 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.131.916;26.290.016;158100;;244;1355;1111;;;;;
67;26.290.016;26;138.91.140.216;192.168.1.16;TCP;54;443  >  57530 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.290.016;28.801.350;2511334;;1355;329248;327893;;;;;
68;28.801.350;29;138.91.140.216;192.168.1.16;TCP;54;443  >  57529 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.801.350;31.582.506;2781156;;329248;26566;-302682;;;;;
